filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
./english/f0001_us_f0001_00001.wav,0.397261471,2405.680633,1905.344254,4303.709125,0.152525043,-485.2783203,97.20832825,0.454920858,41.98443222,-19.27309418,11.65748978,-33.4825058,7.237798214,-18.54993057,3.291144371,-6.309648991,-3.193030596,-1.694073081,-16.24855614,5.153075695,-17.38332176,1.248115182,-7.810986996,2.83995676,-8.864050865,1
./english/f0001_us_f0001_00002.wav,0.383270353,2019.817052,1927.152349,3809.51506,0.111273056,-473.8385315,120.7081223,-8.94852829,24.20171165,-31.04157448,14.71506882,-28.39439201,8.265489578,-16.67617416,10.70800018,-7.371342182,-6.076517105,-1.244808674,-12.42475033,7.401482582,-21.4713707,0.841672063,-9.694749832,3.283377171,-7.77752161,1
./english/f0001_us_f0001_00003.wav,0.423945457,2242.856955,1976.805422,4400.423391,0.125321238,-510.4960632,105.6610336,-11.34033298,40.17608643,-19.10597992,15.86432076,-34.27006912,7.036536694,-11.2040596,6.815190315,-6.824389935,-6.308804035,-3.949242353,-12.86732578,6.649814129,-17.9779377,1.006259084,-9.743271828,1.791456223,-8.924010277,1
./english/f0001_us_f0001_00004.wav,0.403673679,2023.295914,1905.958058,3870.738756,0.10530599,-492.3278503,101.770607,0.449703515,39.99572754,-14.2647686,8.376796722,-27.41490746,6.094954014,-12.92165756,4.15945673,-5.306254387,-6.294929028,-3.351854801,-12.35623455,6.190172195,-15.84981155,-0.69398284,-6.724610806,1.39729166,-7.86013937,1
./english/f0001_us_f0001_00005.wav,0.46699959,2640.144105,2076.380039,4982.763448,0.176609984,-486.5744019,77.6439209,2.523825884,23.46148682,-21.61142921,9.331922531,-20.39377785,6.649204731,-11.57242489,5.51124382,-6.122115135,-4.659264088,-0.808016896,-12.52508259,3.027132034,-13.95870209,1.098187447,-6.206655025,1.030909061,-6.494181156,1
./english/f0001_us_f0001_00006.wav,0.381834358,2056.588384,2041.523607,4421.085612,0.084388262,-539.3664551,94.94391632,3.556752205,45.0438652,-12.84159756,11.40159702,-29.16498184,4.85453701,-9.965950966,2.970706701,-3.585461617,-3.701685429,-1.660530567,-13.95253849,3.310096979,-16.4352684,-1.655814886,-3.799848795,-0.186248139,-8.599620819,1
./english/f0001_us_f0001_00007.wav,0.369861156,2377.848051,1977.469243,4278.290698,0.154187084,-476.279541,98.03543091,5.364517212,41.27617264,-18.11303139,13.24935818,-32.09195328,5.786557674,-21.05199814,6.872565746,-8.99924469,-5.697007179,-1.203804731,-17.21345139,2.174177647,-19.57279396,2.66641283,-11.19260406,1.947325587,-8.909035683,1
./english/f0001_us_f0001_00008.wav,0.408207059,2040.128016,1879.575721,3993.820381,0.105243683,-490.9038696,91.18260956,-0.535122931,39.60396194,-2.215123892,6.461593151,-25.29473495,2.291639805,-8.311401367,3.920402527,-4.713384628,-2.083426952,-2.812343836,-9.308427811,1.696404934,-14.81668854,-0.043966144,-6.741360664,2.796504974,-7.188885689,1
./english/f0001_us_f0001_00009.wav,0.4249686,2721.094898,2031.512258,4912.244819,0.171778588,-507.8128052,83.75424194,13.39676476,35.07003021,-26.46018219,23.0260849,-33.32168198,7.04684639,-17.35515785,6.046620846,-3.381666899,-4.968969822,1.669396996,-13.7665329,4.459831715,-15.88369465,1.364542246,-10.00690269,3.011545897,-7.608134747,1
./english/f0001_us_f0001_00010.wav,0.440261006,1949.379517,1995.121299,4090.375073,0.090089302,-491.8457031,107.7585602,-5.951479435,38.18616867,-13.12093163,9.329083443,-26.00391197,5.714519978,-8.993126869,5.689193726,-5.836894512,-2.672829151,-1.271376967,-9.808958054,2.734456778,-16.99868011,2.995343447,-9.243314743,2.312525749,-6.065068245,1
